arms234: 60 runs on 4 workers
  done main_arm2_T393_s3.npz: kmc 39.93 s, 0 flips, first None
  done main_arm2_T303_s5.npz: kmc 4.418e+04 s, 0 flips, first None
  done main_arm2_T303_s1.npz: kmc 4.432e+04 s, 0 flips, first None
  done main_arm2_T303_s9.npz: kmc 4.43e+04 s, 0 flips, first None
  done main_arm2_T303_s2.npz: kmc 4.424e+04 s, 0 flips, first None
  done main_arm2_T393_s4.npz: kmc 39.78 s, 0 flips, first None
  done main_arm2_T303_s10.npz: kmc 4.43e+04 s, 0 flips, first None
  done main_arm2_T303_s6.npz: kmc 4.444e+04 s, 0 flips, first None
  done main_arm2_T393_s5.npz: kmc 39.88 s, 0 flips, first None
  done main_arm2_T393_s1.npz: kmc 39.86 s, 0 flips, first None
  done main_arm2_T303_s3.npz: kmc 4.419e+04 s, 0 flips, first None
  done main_arm2_T303_s7.npz: kmc 4.432e+04 s, 0 flips, first None
  done main_arm2_T393_s2.npz: kmc 39.81 s, 0 flips, first None
  done main_arm2_T393_s6.npz: kmc 39.98 s, 0 flips, first None
  done main_arm2_T303_s4.npz: kmc 4.432e+04 s, 0 flips, first None
  done main_arm2_T303_s8.npz: kmc 4.413e+04 s, 0 flips, first None
  done main_arm2_T393_s7.npz: kmc 39.84 s, 0 flips, first None
  done main_arm3_T303_s5.npz: kmc 2.819e+05 s, 0 flips, first None
  done main_arm3_T303_s1.npz: kmc 3.006e+05 s, 0 flips, first None
  done main_arm3_T303_s9.npz: kmc 2.958e+05 s, 0 flips, first None
  done main_arm2_T393_s8.npz: kmc 39.82 s, 0 flips, first None
  done main_arm3_T303_s2.npz: kmc 3.073e+05 s, 1 flips, first 238.2629070170231
  done main_arm3_T303_s6.npz: kmc 2.985e+05 s, 0 flips, first None
  done main_arm3_T303_s10.npz: kmc 2.53e+05 s, 0 flips, first None
  done main_arm2_T393_s9.npz: kmc 40.07 s, 0 flips, first None
  done main_arm3_T303_s3.npz: kmc 3.02e+05 s, 1 flips, first 60939.888738136826
  done main_arm3_T393_s1.npz: kmc 41.66 s, 0 flips, first None
  done main_arm3_T303_s7.npz: kmc 2.943e+05 s, 0 flips, first None
  done main_arm2_T393_s10.npz: kmc 40.01 s, 0 flips, first None
  done main_arm3_T393_s2.npz: kmc 39.81 s, 0 flips, first None
  done main_arm3_T303_s4.npz: kmc 2.862e+05 s, 0 flips, first None
  done main_arm3_T303_s8.npz: kmc 2.195e+05 s, 0 flips, first None
  done main_arm4_T303_s1.npz: kmc 2.051e+11 s, 1 flips, first 321.57482578450856
  done main_arm4_T303_s5.npz: kmc 1.268e+14 s, 0 flips, first None
  done main_arm3_T393_s3.npz: kmc 40.37 s, 0 flips, first None
  done main_arm3_T393_s7.npz: kmc 39.84 s, 0 flips, first None
  done main_arm4_T303_s2.npz: kmc 1.272e+14 s, 0 flips, first None
  done main_arm4_T303_s6.npz: kmc 1.278e+14 s, 0 flips, first None
  done main_arm4_T303_s3.npz: kmc 2.401e+10 s, 1 flips, first 69.23102723083451
  done main_arm4_T303_s7.npz: kmc 1.067e+11 s, 1 flips, first 118.63402230433924
  done main_arm3_T393_s4.npz: kmc 39.76 s, 0 flips, first None
  done main_arm3_T393_s8.npz: kmc 41.3 s, 0 flips, first None
  done main_arm4_T303_s4.npz: kmc 1.343e+11 s, 1 flips, first 71.93033998929818
  done main_arm4_T303_s8.npz: kmc 1.274e+14 s, 0 flips, first None
  done main_arm4_T303_s9.npz: kmc 4.854e+10 s, 1 flips, first 117.2864242488236
  done main_arm3_T393_s5.npz: kmc 40.03 s, 0 flips, first None
  done main_arm3_T393_s9.npz: kmc 41.99 s, 0 flips, first None
  done main_arm4_T393_s3.npz: kmc 30 s, 4 flips, first 0.4353204013560165
  done main_arm4_T303_s10.npz: kmc 5.936e+09 s, 3 flips, first 70.56450662004255
  done main_arm4_T393_s4.npz: kmc 28 s, 6 flips, first 1.3807407549383381
  done main_arm3_T393_s6.npz: kmc 40.33 s, 0 flips, first None
  done main_arm3_T393_s10.npz: kmc 40.02 s, 0 flips, first None
  done main_arm4_T393_s1.npz: kmc 33.4 s, 5 flips, first 6.692845824459381
  done main_arm4_T393_s5.npz: kmc 30.58 s, 5 flips, first 0.2578252405199558
  done main_arm4_T393_s7.npz: kmc 33.56 s, 3 flips, first 5.347892735585796
  done main_arm4_T393_s2.npz: kmc 38 s, 3 flips, first 8.91889198379128
  done main_arm4_T393_s6.npz: kmc 50.35 s, 6 flips, first 10.586782604790182
  done main_arm4_T393_s8.npz: kmc 31.07 s, 5 flips, first 3.3437389298177957
  done main_arm4_T393_s9.npz: kmc 35.81 s, 3 flips, first 2.659892611847883
  done main_arm4_T393_s10.npz: kmc 32.03 s, 5 flips, first 2.7567146105919975
arms234: complete
