p3rows: 30 runs on 4 workers
  done p3_arm1_T393_s7.npz: kmc 13.4 s, 1 flips, first 4.5129523393454045
  done p3_arm1_T393_s3.npz: kmc 13.71 s, 2 flips, first 1.5804856924526012
  done p3_arm1_T393_s1.npz: kmc 15.35 s, 0 flips, first None
  done p3_arm1_T393_s5.npz: kmc 13.76 s, 1 flips, first 5.877782305762447
  done p3_arm1_T393_s6.npz: kmc 12.61 s, 5 flips, first 2.3370570028034865
  done p3_arm1_T393_s4.npz: kmc 13.95 s, 1 flips, first 2.0424016519955313
  done p3_arm1_T393_s8.npz: kmc 14.03 s, 2 flips, first 7.718648666982526
  done p3_arm1_T393_s2.npz: kmc 14.14 s, 2 flips, first 11.324913915759437
  done p3_arm1_T393_s9.npz: kmc 14.22 s, 0 flips, first None
  done p3_arm3_T393_s1.npz: kmc 14.41 s, 0 flips, first None
  done p3_arm3_T393_s3.npz: kmc 14.27 s, 0 flips, first None
  done p3_arm3_T393_s5.npz: kmc 14.5 s, 0 flips, first None
  done p3_arm1_T393_s10.npz: kmc 13.29 s, 2 flips, first 3.2435382241639865
  done p3_arm3_T393_s4.npz: kmc 14.29 s, 0 flips, first None
  done p3_arm3_T393_s2.npz: kmc 14.29 s, 0 flips, first None
  done p3_arm3_T393_s6.npz: kmc 14.76 s, 0 flips, first None
  done p3_arm3_T393_s7.npz: kmc 14.26 s, 0 flips, first None
  done p3_arm3_T393_s9.npz: kmc 14.22 s, 0 flips, first None
  done p3_arm3_T303_s1.npz: kmc 2.933e+05 s, 1 flips, first 239946.1972730649
  done p3_arm3_T303_s3.npz: kmc 3.042e+05 s, 0 flips, first None
  done p3_arm3_T393_s8.npz: kmc 14.38 s, 0 flips, first None
  done p3_arm3_T393_s10.npz: kmc 14.17 s, 0 flips, first None
  done p3_arm3_T303_s2.npz: kmc 2.875e+05 s, 0 flips, first None
  done p3_arm3_T303_s4.npz: kmc 2.968e+05 s, 0 flips, first None
  done p3_arm3_T303_s5.npz: kmc 2.919e+05 s, 0 flips, first None
  done p3_arm3_T303_s7.npz: kmc 2.991e+05 s, 0 flips, first None
  done p3_arm3_T303_s9.npz: kmc 2.948e+05 s, 0 flips, first None
  done p3_arm3_T303_s6.npz: kmc 2.973e+05 s, 0 flips, first None
  done p3_arm3_T303_s8.npz: kmc 2.833e+05 s, 0 flips, first None
  done p3_arm3_T303_s10.npz: kmc 2.981e+05 s, 0 flips, first None
p3rows: complete
